event_id,payment_type,customer_id,amount,currency,status,event_timestamp,payment_method,source_system,raw_reference,metadata,schema_version,fee_amount,fee_currency,counterparty_name
cceaca7fb7c809207bdbfd1e,CARD,C001,245.5,AED,APPROVED,2024-01-15T14:23:01+00:00,VISA,cards,TXN001,"{'merchant_name': 'Carrefour', 'merchant_category': 'GROCERY', 'auth_code': 'AUTH123', 'masked_card': '****1111'}",2.0,0.0,AED,Carrefour
387f272d2da082b687003e20,CARD,C002,89.99,USD,APPROVED,2024-01-15T15:01:44+00:00,MASTERCARD,cards,TXN002,"{'merchant_name': 'Amazon', 'merchant_category': 'ECOMMERCE', 'auth_code': 'AUTH456', 'masked_card': '****0004'}",2.0,0.0,USD,Amazon
25810703e0bc68cb69d89b85,CARD,C003,320.0,AED,DECLINED,2024-01-15T16:45:22+00:00,VISA,cards,TXN003,"{'merchant_name': 'Noon', 'merchant_category': 'ECOMMERCE', 'auth_code': 'AUTH789', 'masked_card': '****1112'}",2.0,0.0,AED,Noon
85c91286e9252a6c8831e3c7,CARD,C001,500.0,AED,APPROVED,2024-01-16T09:10:05+00:00,VISA,cards,TXN004,"{'merchant_name': 'Emirates NBD ATM', 'merchant_category': 'ATM_WITHDRAWAL', 'auth_code': 'AUTH321', 'masked_card': '****1113'}",2.0,0.0,AED,Emirates NBD ATM
d08b9330f6ede3dfd7bebc12,CARD,C004,35.75,AED,APPROVED,2024-01-16T11:30:00+00:00,MASTERCARD,cards,TXN005,"{'merchant_name': 'Uber', 'merchant_category': 'TRANSPORT', 'auth_code': 'AUTH654', 'masked_card': '****0005'}",2.0,0.0,AED,Uber
4a7922abe486c3c3c8ad85bd,CARD,C002,178.2,AED,APPROVED,2024-01-16T13:55:18+00:00,VISA,cards,TXN006,"{'merchant_name': 'LuLu Hypermarket', 'merchant_category': 'GROCERY', 'auth_code': 'AUTH987', 'masked_card': '****1114'}",2.0,0.0,AED,LuLu Hypermarket
91828d5627e9288402372e14,CARD,C005,42.0,AED,PENDING,2024-01-17T08:05:33+00:00,VISA,cards,TXN007,"{'merchant_name': 'Starbucks', 'merchant_category': 'F_AND_B', 'auth_code': nan, 'masked_card': '****1115'}",2.0,0.0,AED,Starbucks
47763b11da6e7c753c313009,CARD,C003,29.99,USD,APPROVED,2024-01-17T00:00:01+00:00,MASTERCARD,cards,TXN008,"{'merchant_name': 'Spotify', 'merchant_category': 'SUBSCRIPTION', 'auth_code': 'AUTH111', 'masked_card': '****0006'}",2.0,0.0,USD,Spotify
b3b826a52230238e7821c55a,TRANSFER,C001,1000.0,AED,COMPLETED,2024-01-15T10:00:00+00:00,WITHIN_UAE,transfers,TRF001,"{'sender_account': 'AE070331234567890123456', 'receiver_account': 'AE280331234567890654321', 'receiver_bank': 'FAB', 'failure_reason': nan}",2.0,2.5,AED,Ahmed Al Mansoori
6d9defe76acf7d759d0657e1,TRANSFER,C002,5000.0,GBP,PENDING,2024-01-15T11:30:00+00:00,INTERNATIONAL,transfers,TRF002,"{'sender_account': 'AE070331234567890123457', 'receiver_account': 'GB29NWBK60161331926819', 'receiver_bank': 'BARCLAYS', 'failure_reason': nan}",2.0,25.0,AED,Sarah Johnson
47d871eed4deb949c2299b52,TRANSFER,C003,250.0,AED,FAILED,2024-01-15T14:00:00+00:00,WITHIN_UAE,transfers,TRF003,"{'sender_account': 'AE070331234567890123458', 'receiver_account': 'AE280331234567890654322', 'receiver_bank': 'ENBD', 'failure_reason': 'INSUFFICIENT_FUNDS'}",2.0,0.0,AED,Omar Al Hashemi
c5b31ee83dafe45b73ed2e75,TRANSFER,C001,750.0,AED,COMPLETED,2024-01-16T09:00:00+00:00,WITHIN_UAE,transfers,TRF004,"{'sender_account': 'AE070331234567890123456', 'receiver_account': 'AE280331234567890654323', 'receiver_bank': 'ADCB', 'failure_reason': nan}",2.0,2.5,AED,Fatima Al Zaabi
83e038831e8115a36ec8b8c4,TRANSFER,C004,2000.0,USD,COMPLETED,2024-01-16T13:00:00+00:00,INTERNATIONAL,transfers,TRF005,"{'sender_account': 'AE070331234567890123459', 'receiver_account': 'US12345678901234567890', 'receiver_bank': 'CHASE', 'failure_reason': nan}",2.0,30.0,AED,John Smith
fcffd7565e179f338366337c,TRANSFER,C005,3000.0,AED,COMPLETED,2024-01-17T08:00:00+00:00,WITHIN_UAE,transfers,TRF006,"{'sender_account': 'AE070331234567890123460', 'receiver_account': 'AE280331234567890654324', 'receiver_bank': 'MASHREQ', 'failure_reason': nan}",2.0,2.5,AED,Ali Al Rashidi
f0b6efdd8d9b519c0c8fbc43,BILL,C001,450.0,AED,APPROVED,2024-01-15T09:00:00+00:00,MOBILE_APP,bill_payments,BP001,"{'biller_code': 'DEWA_001', 'biller_name': 'DEWA', 'biller_category': 'UTILITY', 'account_ref': '123456789', 'error_code': nan, 'scheduled': False}",2.0,0.0,AED,DEWA
cc333ccbaa98bbf34ddd5c2b,BILL,C002,199.0,AED,APPROVED,2024-01-15T10:30:00+00:00,WEB,bill_payments,BP002,"{'biller_code': 'DU_MOBILE', 'biller_name': 'Du Telecom', 'biller_category': 'TELECOM', 'account_ref': '0551234567', 'error_code': nan, 'scheduled': False}",2.0,0.0,AED,Du Telecom
e23bb890f89d62d43506e7b4,BILL,C003,300.0,AED,FAILED,2024-01-15T12:00:00+00:00,MOBILE_APP,bill_payments,BP003,"{'biller_code': 'ADNOC_001', 'biller_name': 'ADNOC', 'biller_category': 'FUEL', 'account_ref': '987654321', 'error_code': 'BILLER_TIMEOUT', 'scheduled': False}",2.0,0.0,AED,ADNOC
0cc674c9ff5b1eaf3341c2bf,BILL,C001,200.0,AED,APPROVED,2024-01-16T08:00:00+00:00,MOBILE_APP,bill_payments,BP004,"{'biller_code': 'SALIK', 'biller_name': 'Salik', 'biller_category': 'TOLL', 'account_ref': 'TL_C001', 'error_code': nan, 'scheduled': False}",2.0,0.0,AED,Salik
b210cb763e3913833c945375,BILL,C004,149.0,AED,APPROVED,2024-01-16T14:00:00+00:00,WEB,bill_payments,BP005,"{'biller_code': 'ETISALAT', 'biller_name': 'Etisalat', 'biller_category': 'TELECOM', 'account_ref': '0501234567', 'error_code': nan, 'scheduled': False}",2.0,0.0,AED,Etisalat
e34e1d98f02614f76c061a2a,BILL,C002,520.0,AED,APPROVED,2024-01-17T07:00:00+00:00,SCHEDULED,bill_payments,BP006,"{'biller_code': 'DEWA_001', 'biller_name': 'DEWA', 'biller_category': 'UTILITY', 'account_ref': '123456790', 'error_code': nan, 'scheduled': True}",2.0,0.0,AED,DEWA
80475e072cd04c8a7c34ca53,BILL,C005,15000.0,AED,APPROVED,2024-01-17T11:00:00+00:00,WEB,bill_payments,BP007,"{'biller_code': 'DLD_001', 'biller_name': 'Dubai Land Dept', 'biller_category': 'GOVERNMENT', 'account_ref': 'LN_12345', 'error_code': nan, 'scheduled': False}",2.0,0.0,AED,Dubai Land Dept
188f668b4cd7426a0917c9c5,BILL,C003,99.0,AED,FAILED,2024-01-17T15:30:00+00:00,MOBILE_APP,bill_payments,BP008,"{'biller_code': 'DU_MOBILE', 'biller_name': 'Du Telecom', 'biller_category': 'TELECOM', 'account_ref': '0559876543', 'error_code': 'INSUFFICIENT_BALANCE', 'scheduled': False}",2.0,0.0,AED,Du Telecom
